,Distance
785,0.6352000000000001
786,0.6682
787,1.3422
788,0.7427999999999999
789,1.3976
790,0.719
791,6.446
792,3.1599
793,2.5075
794,5.2456000000000005
795,1.7735
796,2.8508
797,2.0452
798,1.3214000000000001
799,4.2698
800,5.1181
801,4.0264
802,6.021
803,1.2933
804,5.6716999999999995
805,3.6298000000000004
806,2.1406
807,7.4381
808,2.6594
809,5.1392
810,1.4521
811,6.371
812,8.1364
813,5.3507
814,6.0774
815,5.7546
816,7.4077
817,8.3716
818,6.2488
819,2.5341
820,3.1364
821,5.964
822,6.0141
823,3.094
824,1.3665999999999998
825,3.0431
826,6.992100000000001
827,5.3266
828,6.2151000000000005
829,1.8631
830,3.2287
831,4.6753
832,6.8742
833,1.9136
834,9.9849
835,5.4306
836,11.3179
837,6.2425
838,1.7515999999999998
839,8.6715
840,4.2602
841,5.7028
842,5.429
843,7.0552
844,5.2335
845,2.1385
846,0.8617999999999999
847,0.7539
848,0.5075
849,0.6708
850,0.45030000000000003
851,0.6051
852,0.5094
853,0.7132999999999999
854,1.3453
855,0.9885
856,1.2818
857,0.7954
858,1.6636
859,1.5666
860,1.3019
861,2.3733
862,1.4127
863,1.4705
864,1.6636
865,1.5666
866,1.8115
867,1.6636
868,1.5321
869,1.6636
870,2.0846
871,1.1532
872,4.0106
873,1.0440999999999998
874,0.8677999999999999
875,1.2459
876,0.9492
877,0.6423
878,0.7102
879,0.9041
880,0.9004
881,1.076
882,0.3447
883,0.6472
884,1.0312999999999999
885,0.8871
886,0.6071
887,0.7044
888,1.2125
889,1.267
890,1.3013
891,1.0308
892,2.1351
893,11.8366
894,0.6523
895,3.2243000000000004
896,1.7741
897,0.9757
898,4.2271
899,3.2243000000000004
900,3.2039
901,0.4908
902,1.8455
903,2.1372
904,0.5227999999999999
905,1.7492999999999999
906,1.4790999999999999
907,2.0286
908,1.645
909,3.2419000000000002
910,2.1903
911,4.5438
912,2.5185
913,5.4591
914,3.7411999999999996
915,4.6743999999999994
916,4.6561
917,5.275600000000001
918,4.5815
919,3.6193
920,0.5498
921,1.5712000000000002
922,3.6169000000000002
923,2.3266999999999998
924,2.3312
925,1.9808
926,2.4289
927,4.6654
928,4.124899999999999
929,5.1162
930,4.49
931,5.1111
932,7.8603000000000005
933,1.1521
934,0.5838
935,1.217
936,0.9707
937,0.5744
938,0.6447
939,0.4511
940,0.5825
941,0.808
942,1.1773
943,1.2995
944,1.1092
945,0.9859
946,1.2457
947,0.18819999999999998
948,10.884
949,1.289
950,1.9763
951,3.249
952,3.4899
953,4.226100000000001
954,2.2609
955,0.5913999999999999
956,1.707
957,3.9486999999999997
958,2.1386999999999996
959,2.0395
960,3.3401
961,3.3401
962,3.3401
963,3.3504
