sa2_code,sa2_name,property_type,extracted_price,ERP_2021,ERP_2026,OCC_2021,OCC_2026,population_growth_2021_2026,population_density_persons_per_km2_2023,Median,Mean,Top 10%,Gini coefficient,IPR,HPI,PDI,GII,Affordability_Score
209011198,Heidelberg - Rosanna,Apartment / Unit / Flat,400.0,16202.0,16984.77284720254,0.9261649521370536,0.91,4.831334694497846,2605.0,63861,80746,31.6,0.474,0.0024591984516673807,0.9979406081173607,0.008306817734088893,0.7246376811594205,0.374490993478635
208031185,Carrum - Patterson Lakes,House,1100.0,12115.0,12585.26639286161,0.9418333800662972,0.96,3.8816871057499736,2120.8,59146,74837,32.3,0.471,0.0006323588379127808,0.9961111822137383,0.010341365012436196,0.7333333333333335,0.3744879045351072
206041510,West Melbourne - Residential,House,50.0,7614.0,10118.54129794051,0.8191900445694086,0.8499999999999999,32.89389674206081,10578.4,54727,71654,33.4,0.487,0.018589105243180377,0.9934574892859729,0.0015899579432069977,0.6869565217391306,0.37448653264561843
206041510,West Melbourne - Residential,House,50.0,7614.0,10118.54129794051,0.8191900445694086,0.8499999999999999,32.89389674206081,10578.4,54727,71654,33.4,0.487,0.018589105243180377,0.9934574892859729,0.0015899579432069977,0.6869565217391306,0.37448653264561843
206041509,Southbank - East,Apartment / Unit / Flat,585.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013088385904065716,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37448630547870904
213031348,Footscray,Apartment / Unit / Flat,400.0,17419.0,25837.51040406491,0.8211477004277579,0.87,48.32947014217182,4017.8,50695,60962,29.5,0.472,0.0018913056495466437,0.9988316689101424,0.005173278853341228,0.7304347826086958,0.3744841569643992
213031348,Footscray,Apartment / Unit / Flat,400.0,17419.0,25837.51040406491,0.8211477004277579,0.87,48.32947014217182,4017.8,50695,60962,29.5,0.472,0.0018913056495466437,0.9988316689101424,0.005173278853341228,0.7304347826086958,0.3744841569643992
213031348,Footscray,Apartment / Unit / Flat,400.0,17419.0,25837.51040406491,0.8211477004277579,0.87,48.32947014217182,4017.8,50695,60962,29.5,0.472,0.0018913056495466437,0.9988316689101424,0.005173278853341228,0.7304347826086958,0.3744841569643992
206041509,Southbank - East,Apartment / Unit / Flat,590.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0012952438894286594,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3744808675983179
206041509,Southbank - East,Apartment / Unit / Flat,590.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0012952438894286594,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3744808675983179
206041509,Southbank - East,Apartment / Unit / Flat,590.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0012952438894286594,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3744808675983179
206041509,Southbank - East,Apartment / Unit / Flat,590.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0012952438894286594,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3744808675983179
206041509,Southbank - East,Apartment / Unit / Flat,590.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0012952438894286594,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3744808675983179
206041509,Southbank - East,Apartment / Unit / Flat,595.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0012818776708201241,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37447552111087445
